facility_id,facility_name,facility_type_name,facility_type_code,region_name,sido_name,sigungu_name,address,longitude,latitude,open_start,open_end
1272ca9b977eb552,남전마을 송정경로당 체력단련시설,간이운동장,P0801,경상남도 통영시 산양읍 산양중앙로 14-1,경상남도,통영시,경상남도 통영시 산양읍 산양중앙로 14-1,128.3894407,34.80086234,,
9f04abfc3e2ba3a2,남전마을 체육시설,간이운동장,P0801,경상남도 밀양시 하남읍 남전5길 26,경상남도,밀양시,경상남도 밀양시 하남읍 남전5길 26,128.7255688,35.41332998,,
0bc2b13ab216786d,남정리게이트볼장,전천후게이트볼장,P1001,경기도 이천시 신둔면 원적로147번길 103,경기도,이천시,경기도 이천시 신둔면 원적로147번길 103,127.40726,37.32244,,
6a20e4ae0f184624,남정리 주민생활체육시설,간이운동장,P0801,전라남도 화순군 능주면 남정리 231,전라남도,화순군,전라남도 화순군 능주면 남정리 231,126.9536828,34.99240329,,
7ec7ed8a2fff214d,남정부흥리 체력단련시설,간이운동장,P0801,경상북도 영덕군 남정면 부흥리 465,경상북도,영덕군,경상북도 영덕군 남정면 부흥리 465,129.371499,36.291053,,
f1033eac62eb71c4,남정 야외운동기구,간이운동장,P0801,경상남도 남해군 서면 대정리 699,경상남도,남해군,경상남도 남해군 서면 대정리 699,127.8576032,34.81188777,,
8dc32e5f3595b58d,남제10동동네체육시설,간이운동장,P0801,전라남도 순천시 인제동 192,전라남도,순천시,전라남도 순천시 인제동 192,127.4849055,34.94409731,,
9e8231a8d9554e11,남제11동동네체육시설,간이운동장,P0801,전남광주통합특별시 순천시 장평안길 30 (인제동) - 인제공원,전라남도,순천시,전남광주통합특별시 순천시 장평안길 30 (인제동) - 인제공원,127.4932487,34.94440264,,
fecb17055406fcd2,남제14동동네체육시설,간이운동장,P0801,전라남도 순천시 인제동 남제새길 53,전라남도,순천시,전라남도 순천시 인제동 남제새길 53,127.4838119,34.94354642,,
014d00a58898994a,남제15동동네체육시설,간이운동장,P0801,전라남도 순천시 남정동 328,전라남도,순천시,전라남도 순천시 남정동 328,127.4854792,34.93966383,,
868ba76e03f139c1,남제16동동네체육시설,간이운동장,P0801,전라남도 순천시 남정동 213,전라남도,순천시,전라남도 순천시 남정동 213,127.4863377,34.94267461,,
9c237bacc90497e8,남제17동동네체육시설,간이운동장,P0801,전라남도 순천시 인제동 240,전라남도,순천시,전라남도 순천시 인제동 240,127.4813497,34.94405737,,
684dbc40e9959b86,남제18동동네체육시설,간이운동장,P0801,전라남도 순천시 남정동 204,전라남도,순천시,전라남도 순천시 남정동 204,127.4860877,34.94187158,,
ef597ace23d76bf4,남제19동동네체육시설,간이운동장,P0801,전라남도 순천시 남정동 423,전라남도,순천시,전라남도 순천시 남정동 423,127.4870157,34.93811812,,
d55a93dbe04e6165,남제1동동네체육시설,간이운동장,P0801,전라남도 순천시 남정동 5,전라남도,순천시,전라남도 순천시 남정동 5,127.47689,34.93703,,
44af2bd51460b009,남제20동동네체육시설,간이운동장,P0801,전라남도 순천시 인제동 상인제1길 44,전라남도,순천시,전라남도 순천시 인제동 상인제1길 44,127.4831384,34.94443245,,
